what,kind,bundleId,bundleVersion,description,time
started,bundle,com.altera.utilities,11.0.0.208,"com.altera.utilities",1382143299068
os,sysinfo,,,"win32",1382143299068
arch,sysinfo,,,"x86",1382143299068
ws,sysinfo,,,"win32",1382143299068
locale,sysinfo,,,"en_US",1382143299068
processors,sysinfo,,,"6",1382143299068
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1382143299068
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1382143299068
java.specification.name,sysinfo,,,"Java Platform API Specification",1382143299068
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1382143299068
java.specification.version,sysinfo,,,"1.6",1382143299068
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1382143299068
java.version,sysinfo,,,"1.6.0_23",1382143299068
java.vm.info,sysinfo,,,"mixed mode",1382143299068
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1382143299068
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1382143299068
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1382143299068
java.vm.specification.version,sysinfo,,,"1.0",1382143299068
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1382143299068
java.vm.version,sysinfo,,,"19.0-b09",1382143299068
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143301283
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1382143301283
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143302251
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143302999
started,bundle,com.altera.sbtgui.core,11.0.0.208,"com.altera.sbtgui.core",1382143308163
executed,command,com.altera.sbtgui.project,11.0.0.208,"com.altera.sbtgui.project.commands.quartus",1382143308943
started,bundle,org.eclipse.cdt.dsf.gdb.ui,2.1.0.201009141542,"org.eclipse.cdt.dsf.gdb.ui",1382143309068
started,bundle,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui",1382143309099
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143309895
started,bundle,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch",1382143321283
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143355266
started,bundle,com.altera.sbtgui.ui,11.0.0.208,"com.altera.sbtgui.ui",1382143359158
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143359735
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143387706
started,bundle,org.eclipse.core.variables,3.2.400.v20100505,"org.eclipse.core.variables",1382143392199
started,bundle,org.eclipse.cdt.managedbuilder.gnu.ui,7.0.0.201009141542,"org.eclipse.cdt.managedbuilder.gnu.ui",1382143393571
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143398751
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143403469
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382143409694
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143414951
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143425886
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1382143433796
started,bundle,org.eclipse.compare,3.5.100.I20100526-0800,"org.eclipse.compare",1382143433827
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143437774
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143443343
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143443670
started,bundle,org.eclipse.compare.core,3.5.100.I20100526-0800,"org.eclipse.compare.core",1382143444029
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382143444060
started,bundle,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring",1382143444076
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143444123
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382143444138
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143444201
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143446525
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382143446525
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143448974
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143454310
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143454637
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382143454684
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143454731
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382143454731
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143454762
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143456712
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143456977
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143467694
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382143469036
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1382143470066
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382143470846
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143472109
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143474231
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382143474948
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1382143477195
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382143477491
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382143478427
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382143487912
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1382143491859
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143492124
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143508941
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382143513403
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382143523277
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.copy",1382143525227
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1382143526631
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1382143529205
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1382143529611
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382143530578
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382143531577
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1382143532747
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143533027
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143544571
started,bundle,org.eclipse.cdt.debug.core,7.0.0.201009141542,"org.eclipse.cdt.debug.core",1382143558986
started,bundle,org.eclipse.cdt.debug.ui,7.0.0.201009141542,"org.eclipse.cdt.debug.ui",1382143558986
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382143560764
