what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1382303672492
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303674554
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303674952
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382303675834
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303676194
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303694793
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382303698937
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1382303714798
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382303714803
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382303715630
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382303717020
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382303717206
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382303717243
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382303723993
opened,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382303745455
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382303745491
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382303751159
closed,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382303751159
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382303752673
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1382303772263
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303773214
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303780480
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303780838
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303821128
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382303822000
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382303822942
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382303833655
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1382303836007
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382303838339
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382303839269
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1382303840688
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303840959
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303844457
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1382303850005
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382303851078
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382303852134
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303853731
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303859284
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1382303859289
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1382303859289
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303859315
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303861481
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382303862199
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382303874407
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382303876987
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1382303880387
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303880658
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303883825
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382303886779
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1382303896832
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deletePreviousWord",1382303924284
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deleteNextWord",1382303924701
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.deleteNextWord",1382303925145
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382303925759
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1382303926100
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.paste",1382303927299
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382303928026
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1382303929592
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303929861
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303933266
activated,view,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.views.TaskList",1382303934910
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1382303935809
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382303938898
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382303959199
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1382303960380
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303960645
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303963858
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1382303964857
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382303967551
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1382303971366
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382303974707
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304129796
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382304131502
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304133653
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304137111
executed,command,org.eclipse.ltk.ui.refactoring,3.5.0.v20100526-0800,"org.eclipse.ltk.ui.refactoring.commands.renameResource",1382304137117
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.rename",1382304137117
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304137157
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304140769
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382304141387
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382304143810
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1382304145348
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304145619
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304150101
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382304150794
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1382304156268
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1382304162467
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1382304165255
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304167842
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304170441
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304366773
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304377111
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304378985
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304399211
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382304402334
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.edit.delete",1382304406576
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382304407029
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1382304408231
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304408505
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304411889
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304421169
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304425380
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304426066
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304426855
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382304431094
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1382304432307
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304432572
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304435714
activated,view,org.eclipse.ui.navigator.resources,3.4.201.M20100707-0800,"org.eclipse.ui.navigator.ProjectExplorer",1382304436797
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1382304441063
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1382304444924
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304445414
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304467155
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304468458
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304479680
activated,perspective,com.altera.sbtgui.ui,,"com.altera.sbtgui.ui.debugPerspective",1382304484371
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1382304484375
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.perspectives.showPerspective",1382304484383
executed,command,,,"com.altera.sbtgui.ui.debugPerspective",1382304484383
activated,view,org.eclipse.cdt.dsf.ui,2.1.1.201009141542,"org.eclipse.cdt.dsf.debug.ui.disassembly.view",1382304485376
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304492589
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304497268
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304500918
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304506651
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304509745
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304511355
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304512366
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304514004
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304520462
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304522019
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304524973
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304526687
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304528733
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304567392
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304569722
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304578207
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304581197
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304581951
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304583138
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304585028
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304586710
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304588388
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304596225
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304634311
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304637218
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304640871
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304641873
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304643739
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304645497
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304647427
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304649161
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304664279
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304664625
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304669247
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304671002
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304672400
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304673565
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304787888
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304847686
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304848464
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304868430
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304869271
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304869541
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304956136
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304996394
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382304996840
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382304998490
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382305001752
executed,command,,,"AUTOGEN:::org.eclipse.ui.texteditor.ruler.actions/org.eclipse.cdt.internal.ui.text.correction.CSelectRulerAction",1382305005435
executed,command,,,"AUTOGEN:::org.eclipse.cdt.debug.ui.CEditor.BreakpointRulerActions/org.eclipse.cdt.debug.ui.CEditor.RulerTobbleBreakpointAction",1382305006808
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1382305009128
executed,command,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.commands.Resume",1382305009133
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382305013426
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1382305018837
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1382305021992
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.CEditor",1382305024483
executed,command,org.eclipse.ui,3.6.1.M20100826-1330,"org.eclipse.ui.file.save",1382305026947
executed,command,org.eclipse.ui.ide,3.6.1.M20100825-0800,"org.eclipse.ui.project.buildAll",1382305028472
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382305028767
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382305031776
activated,editor,org.eclipse.cdt.ui,5.2.1.201009141542,"org.eclipse.cdt.ui.editor.asm.AsmEditor",1382305035625
activated,view,org.eclipse.debug.ui,3.6.1.v20100901_r361,"org.eclipse.debug.ui.DebugView",1382305040109
deactivated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382305042435
activated,workbench,org.eclipse.ui.workbench,3.6.1.M20100826-1330,"",1382305044028
activated,view,com.altera.sbtgui.launch,11.0.0.208,"com.altera.sbtgui.launch.hardware.ByteStreamConsoleView",1382305046384
